Article Link,Title,Body
https://www.nature.com/articles/d41586-022-00379-x,Young cerebrospinal fluid improves memory in old mice,Infusion of cerebrospinal fluid from young mice into old mice restores memory recall in the aged animals by triggering production of the fatty myelin sheath that insulates neurons in the brain.
https://www.nature.com/articles/d41586-022-00379-x,Chance discovery sheds light on exploding stars,"A rare event has been identified in a brief detection of X-rays. Serendipity only pays off when you know what to do with it, and researchers have used the finding to verify a long-standing theory about a class of exploding star."
https://www.nature.com/articles/d41586-022-00379-x,A possible path towards encoded protein synthesis on ancient Earth,How did the biological machinery for protein synthesis evolve from simple chemicals on ancient Earth? Experiments suggest an intriguing role for modified RNA nucleotides in directing stepwise peptide synthesis.
https://www.nature.com/articles/d41586-022-00379-x,"From the archive: comet observation, and the explorer Dr Livingstone found safe",Snippets from Nature’s past.
https://www.nature.com/articles/d41586-022-00379-x,Mycoprotein produced in cell culture has environmental benefits over beef,"Would environmental damage be reduced by replacing beef with mycoprotein produced in cell culture? Modelling shows that this change could greatly cut global deforestation, pasture area and greenhouse-gas emissions."
https://www.nature.com/articles/d41586-022-00379-x,Light moves artificial cilia to a complex beat,The beating of hair-like structures that enable microorganisms to swim has been replicated in a polymer material that bends and twists with the help of light-sensitive molecular machines.
https://www.nature.com/articles/d41586-022-00379-x,A rethink about enzymes that drive DNA replication,"It has long been thought that two enzymes, the kinases CDC7 and CDK2, are both needed to trigger DNA replication in mammalian cells. This view is challenged by evidence that offers a revised view of which kinases are essential."
https://www.nature.com/articles/d41586-022-00379-x,"From the archive: the link between mosquitoes and disease, and Mount Vesuvius erupts",Snippets from Nature’s past.
https://www.nature.com/articles/d41586-022-00379-x,Killing the messenger to evade bacterial defences,Many mysteries remain about how antiviral responses shape the ability of viruses to infect bacteria. The finding that viruses interfere with signalling mediated by molecules called second messengers sheds light on bacterial defences.
https://www.nature.com/articles/d41586-022-00379-x,A switch in neuronal dynamics that helps to initiate movement,"Experiments on the mouse brain reveal that neuronal signals from the midbrain to the cortex act as a switch that transforms the dynamics of cortical neuronal activity and, in turn, initiates movement."
https://www.nature.com/articles/d41586-022-00379-x,Tailor-made enzymes poised to propel plastic recycling into a new era,"Waste streams of the plastic poly(ethylene terephthalate) that can be recycled into material suitable for food packaging are limited, creating a shortfall of feedstocks. An enzyme has been discovered that widens the feedstock options."
https://www.nature.com/articles/d41586-022-00379-x,Phosphorylation found inside RNA,"In an impressively thorough study, phosphorylation in the core of a transfer RNA molecule has been described for the first time, and the enzymes that add and remove the phosphate group have been characterized."
https://www.nature.com/articles/d41586-022-00379-x,Stretched skin cells divide without DNA replication,"Analysis of zebrafish larvae reveals that epithelial cells in their skin undergo tension-driven division without DNA replication. This allows rapid expansion, enabling the cells to cover the fast-growing organism."
https://www.nature.com/articles/d41586-022-00379-x,Virtual collaboration hinders a key component of creativity,Experiments and fieldwork show that teams working together online produce fewer ideas than those collaborating in person — a first step towards answering the question of which modes of communication are generally best for creativity.
https://www.nature.com/articles/d41586-022-00379-x,"Crosstalk between nerves, immune cells and plaques drives atherosclerosis","Fatty structures called plaques can form in arteries, and are separated from nerves by the artery walls. But this is no barrier to communication — it seems that nerves interact with plaques and immune cells to drive cardiovascular disease."
https://www.nature.com/articles/d41586-022-00379-x,Tension hones body segmentation around the clock,The formation of body segments in vertebrate embryos has long been attributed to the spatio-temporal patterning of molecular signals. But segment length in zebrafish is now found to be adjusted by tissue mechanics.
https://www.nature.com/articles/d41586-022-00379-x,Jumping robot bests biology by enhancing stored energy,A robotic jumper combines inspiration from biology with clever engineering to reach new heights. Crucial to the design is the combination of a rotary motor with a hybrid spring that maximizes stored energy density.
https://www.nature.com/articles/d41586-022-00379-x,"From the archive: Einstein’s ideas, and a telegraph pioneer",Snippets from Nature’s past.
