Title,Link,Original paragraphs,reference summary,r1 f1 score lex rank,Sumy summary using lex rank,r1 f1 score luhn,Sumy summary using Luhn,r1 f1 score lsa,Sumy summary using LSA
Can Andreessen Horowitz prevent the next crypto winter?,https://techcrunch.com/2022/05/28/can-andreessen-horowitz-prevent-the-next-crypto-winter/,Our engineers are working quickly to resolve the issue.Thank you for your patience.,,,,,,,
"Daily Crunch: With Bungie under its wing, Sony plans to invest half of its PlayStation Studios development budget on live service games this year",https://techcrunch.com/2022/05/27/daily-crunch-with-bungie-under-its-wing-sony-plans-to-invest-half-of-its-playstation-studios-development-budget-on-live-service-games-this-year/,"To get a roundup of TechCrunch’s biggest and most important stories delivered to your inbox every day at 3 p.m. PDT, subscribe here. Happy Friday, Crunchers! It’s 27 May 2022, and we are slinking into a long weekend because it’s Memorial Day weekend here in the U.S. There’s no newsletter on Monday — Haje is going 🍷 wine tasting in Sonoma, and Christine is planning to spend Monday 🛋️ sitting on the sofa doing absolutely nothing, which we celebrate wholeheartedly. We’ll see you back here on Tuesday! Not sure what to do this weekend? Check out this roundup of all the amazing podcasts we published this week. It’ll keep you busy for a few hours at least.  — Haje and Christine","It's 27 May 2022, and we are slinking into a long weekend because it's Memorial Day weekend here in the U.S. Haje is going wine tasting in Sonoma, and Christine is planning to spend Monday sitting on the sofa doing nothing. Check out this roundup of all the amazing podcasts we published this week.",0.6868686818814408,"It’s 27 May 2022, and we are slinking into a long weekend because it’s Memorial Day weekend here in the U.S. There’s no newsletter on Monday — Haje is going 🍷 wine tasting in Sonoma, and Christine is planning to spend Monday 🛋️ sitting on the sofa doing absolutely nothing, which we celebrate wholeheartedly. We’ll see you back here on Tuesday!",0.6315789425223146,"To get a roundup of TechCrunch’s biggest and most important stories delivered to your inbox every day at 3 p.m. PDT, subscribe here. It’s 27 May 2022, and we are slinking into a long weekend because it’s Memorial Day weekend here in the U.S. There’s no newsletter on Monday — Haje is going 🍷 wine tasting in Sonoma, and Christine is planning to spend Monday 🛋️ sitting on the sofa doing absolutely nothing, which we celebrate wholeheartedly.",0.6601941697954568,"It’s 27 May 2022, and we are slinking into a long weekend because it’s Memorial Day weekend here in the U.S. There’s no newsletter on Monday — Haje is going 🍷 wine tasting in Sonoma, and Christine is planning to spend Monday 🛋️ sitting on the sofa doing absolutely nothing, which we celebrate wholeheartedly. It’ll keep you busy for a few hours at least."
Tech layoffs top 15K in a brutal May,https://techcrunch.com/2022/05/27/tech-layoffs-top-15k-employees-in-a-brutal-may/," It’s been a rough month in the tech sector. We’ve rounded up week after week of layoffs, and according to aggregator layoffs.fyi, more than 15,000 tech workers have lost their jobs this month. Hopefully the sun will come out in June. A number of tech companies that enjoyed pandemic-related surges are facing a correction, due to a number of factors, from rising inflation, economic distress, war and shifting consumer taste buds. Companies including Meta and Twitter have publicly announced hiring freezes, while Snap confirmed this week that it is slowing hiring as it misses revenue targets. ","More than 15,000 tech workers have lost their jobs this month. A number of tech companies that enjoyed pandemic-related surges are facing a correction. Rising inflation, economic distress, war and shifting consumer taste buds may be to blame for job losses in tech sector.",0.4383561594970914,"It’s been a rough month in the tech sector. We’ve rounded up week after week of layoffs, and according to aggregator layoffs.fyi, more than 15,000 tech workers have lost their jobs this month.",0.696629208498927,"We’ve rounded up week after week of layoffs, and according to aggregator layoffs.fyi, more than 15,000 tech workers have lost their jobs this month. A number of tech companies that enjoyed pandemic-related surges are facing a correction, due to a number of factors, from rising inflation, economic distress, war and shifting consumer taste buds.",0.24324323833455083,"It’s been a rough month in the tech sector. Companies including Meta and Twitter have publicly announced hiring freezes, while Snap confirmed this week that it is slowing hiring as it misses revenue targets."
Lidar exposes the remnants of an overgrown ancient civilization in the Amazon,https://techcrunch.com/2022/05/27/lidar-exposes-the-remnants-of-an-overgrown-ancient-civilization-in-the-amazon/,"It’s Friday and the world is falling apart, so let’s just take a short mental health break with some interesting news out of the field of archaeology, where tech is enabling some fascinating new discoveries. A new lidar-powered analysis of land in the Amazon basin has provided evidence of a previously unknown urban center of “mind blowing” complexity. To be clear, that doesn’t mean ancient aliens or long-lost technology, just that it far exceeds the expected levels of organization and population that scholars considered possible for Amazonians of 1,500 years ago. “Nobody expected that kind of society in that region … pyramids 20 meters high,” said Heiko Prümers, of the German Archaeological Institute, in a video produced by Nature. “The whole region has been so densely habitated during the pre-hispanic time, that’s incredible to believe. There is a new civilization, new culture, waiting for us to study them.”","Archaeologists discover previously unknown urban center in the Amazon basin. Lidar-powered analysis of land provides evidence of highly sophisticated society. There is ""a new civilization, new culture, waiting for us to study them,"" an archaeologist says. The discovery was made by the German Archaeological Institute.",0.31111110613333337,"It’s Friday and the world is falling apart, so let’s just take a short mental health break with some interesting news out of the field of archaeology, where tech is enabling some fascinating new discoveries. A new lidar-powered analysis of land in the Amazon basin has provided evidence of a previously unknown urban center of “mind blowing” complexity.",0.10101009612488546,"It’s Friday and the world is falling apart, so let’s just take a short mental health break with some interesting news out of the field of archaeology, where tech is enabling some fascinating new discoveries. To be clear, that doesn’t mean ancient aliens or long-lost technology, just that it far exceeds the expected levels of organization and population that scholars considered possible for Amazonians of 1,500 years ago.",0.18947367927756245,"It’s Friday and the world is falling apart, so let’s just take a short mental health break with some interesting news out of the field of archaeology, where tech is enabling some fascinating new discoveries. “Nobody expected that kind of society in that region … pyramids 20 meters high,” said Heiko Prümers, of the German Archaeological Institute, in a video produced by Nature."
"As crypto becomes more mainstream, can it stay decentralized?",https://techcrunch.com/2022/05/27/as-crypto-becomes-more-mainstream-can-it-stay-decentralized/,"As global markets continue to face downward trends, crypto markets are anticipating greater adoption as people see the digital asset sector as a hedge against inflation (even though some prices are currently down from their 52-week marks). Whether it’s first-time buyers of cryptocurrency or people learning more about NFTs, Bitcoin and the general crypto ecosystem, there has been an uptick globally in crypto awareness and, in turn, adoption, data indicates. About half of all crypto owners in the U.S., Latin America, Asia Pacific, Brazil, Hong Kong and India bought digital assets for the first time in 2021, marking a major breakthrough for the nascent industry, according to a Gemini report. Globally, 41% of individuals surveyed who did not own crypto said they were interested in learning more or buying it in 2022, the report added.","As global markets continue to face downward trends, crypto markets are anticipating greater adoption. Half of all crypto owners in the U.S., Latin America, Asia Pacific, Brazil, Hong Kong and India bought digital assets for the first time in 2021. 41% of individuals surveyed who did not own crypto said they were interested in learning more or buying it in 2022.",0.35897435399225663,"As global markets continue to face downward trends, crypto markets are anticipating greater adoption as people see the digital asset sector as a hedge against inflation (even though some prices are currently down from their 52-week marks). Whether it’s first-time buyers of cryptocurrency or people learning more about NFTs, Bitcoin and the general crypto ecosystem, there has been an uptick globally in crypto awareness and, in turn, adoption, data indicates.",0.5945945895950006,"As global markets continue to face downward trends, crypto markets are anticipating greater adoption as people see the digital asset sector as a hedge against inflation (even though some prices are currently down from their 52-week marks). Globally, 41% of individuals surveyed who did not own crypto said they were interested in learning more or buying it in 2022, the report added.",0.47457626620942256,"Whether it’s first-time buyers of cryptocurrency or people learning more about NFTs, Bitcoin and the general crypto ecosystem, there has been an uptick globally in crypto awareness and, in turn, adoption, data indicates. About half of all crypto owners in the U.S., Latin America, Asia Pacific, Brazil, Hong Kong and India bought digital assets for the first time in 2021, marking a major breakthrough for the nascent industry, according to a Gemini report."
Elon Musk says Starlink has been approved in Nigeria and Mozambique,https://techcrunch.com/2022/05/27/elon-musk-says-starlink-has-been-approved-in-nigeria-and-mozambique/,"Elon Musk announced in a tweet on Friday that Starlink, the satellite internet service launched by SpaceX, his space exploration company, has been approved in Nigeria and Mozambique. This news is coming three days after Musk answered a tweet about the service launch in Africa. “Yes, first countries in Africa to be announced coming soon,” he tweeted. “Starlink will serve everywhere on Earth that we’re legally allowed to serve.”","Starlink, the satellite internet service launched by SpaceX, has been approved in Nigeria and Mozambique. This news is coming three days after Musk answered a tweet about the service launch in Africa. ""Yes, first countries in Africa to be announced coming soon,"" Musk tweeted.",0.799999995000889,"Elon Musk announced in a tweet on Friday that Starlink, the satellite internet service launched by SpaceX, his space exploration company, has been approved in Nigeria and Mozambique. This news is coming three days after Musk answered a tweet about the service launch in Africa.",0.799999995000889,"Elon Musk announced in a tweet on Friday that Starlink, the satellite internet service launched by SpaceX, his space exploration company, has been approved in Nigeria and Mozambique. This news is coming three days after Musk answered a tweet about the service launch in Africa.",0.7301587253111617,"This news is coming three days after Musk answered a tweet about the service launch in Africa. “Yes, first countries in Africa to be announced coming soon,” he tweeted."
4 questions to ask before building a computer vision model,https://techcrunch.com/2022/05/27/4-questions-to-ask-before-building-a-computer-vision-model/,"In 2015, the launch of YOLO — a high-performing computer vision model that could produce predictions for real-time object detection — started an avalanche of progress that sped up computer vision’s jump from research to market. It’s since been an exciting time for startups as entrepreneurs continue to discover use cases for computer vision in everything from retail and agriculture to construction. With lower computing costs, greater model accuracy and rapid proliferation of raw data, an increasing number of startups are turning to computer vision to find solutions to problems. However, before founders begin building AI systems, they should think carefully about their risk appetite, data management practices and strategies for future-proofing their AI stack.","A growing number of startups are turning to computer vision as a solution to problems. With lower computing costs, greater model accuracy and rapid proliferation of raw data, more use cases for computer vision are emerging.",0.29629629157140686,"In 2015, the launch of YOLO — a high-performing computer vision model that could produce predictions for real-time object detection — started an avalanche of progress that sped up computer vision’s jump from research to market. It’s since been an exciting time for startups as entrepreneurs continue to discover use cases for computer vision in everything from retail and agriculture to construction.",0.6756756708071586,"It’s since been an exciting time for startups as entrepreneurs continue to discover use cases for computer vision in everything from retail and agriculture to construction. With lower computing costs, greater model accuracy and rapid proliferation of raw data, an increasing number of startups are turning to computer vision to find solutions to problems.",0.29629629157140686,"In 2015, the launch of YOLO — a high-performing computer vision model that could produce predictions for real-time object detection — started an avalanche of progress that sped up computer vision’s jump from research to market. It’s since been an exciting time for startups as entrepreneurs continue to discover use cases for computer vision in everything from retail and agriculture to construction."
Steal this hot new summer look (it’s bacteria),https://techcrunch.com/2022/05/27/colorifix-dye-textile-bacteria-22-million-h-m/,"Bacterial secretions might dye your future wardrobe, and that’d be an improvement. That’s because textiles usually get their hues from toxic chemicals, and the resulting wastewater — laden with dyes, acids and formaldehyde — destroys rivers, such as those surrounding Dhaka, the capital city of Bangladesh. Wastewater treatment, when it happens, is just one of the energy-intensive (read: carbon-spewing) processes that make fast fashion possible. The environmental crises linked to textiles have given rise to several firms that aim to reimagine dyeing altogether. One such company, Colorifix, just got a boost via a $22.6 million (£18 million) Series B round, led by Swedish fashion giant H&M.","Textiles usually get their hues from toxic chemicals, and the resulting wastewater - laden with dyes, acids and formaldehyde - destroys rivers. One such company, Colorifix, just got a boost via a $22.6 million (£18 million) Series B round, led by fashion giant H&M.",0.4285714235714286,"Bacterial secretions might dye your future wardrobe, and that’d be an improvement. That’s because textiles usually get their hues from toxic chemicals, and the resulting wastewater — laden with dyes, acids and formaldehyde — destroys rivers, such as those surrounding Dhaka, the capital city of Bangladesh.",0.560975604759072,"Wastewater treatment, when it happens, is just one of the energy-intensive (read: carbon-spewing) processes that make fast fashion possible. One such company, Colorifix, just got a boost via a $22.6 million (£18 million) Series B round, led by Swedish fashion giant H&M.",0.44444443946666673,"That’s because textiles usually get their hues from toxic chemicals, and the resulting wastewater — laden with dyes, acids and formaldehyde — destroys rivers, such as those surrounding Dhaka, the capital city of Bangladesh. Wastewater treatment, when it happens, is just one of the energy-intensive (read: carbon-spewing) processes that make fast fashion possible."
Diesel is a horrible thing for an economy to depend on,https://techcrunch.com/2022/05/27/diesel-is-a-horrible-thing-for-an-economy-to-depend-on/,"Want to bring inflation to heel? There’s no single, simple fix, of course, or we would have done it already. But a good place to start would be weaning the economy off gasoline and diesel. Prices for fossil fuels are through the roof. Gas prices are up over 75% since last year, and diesel is up 55%, according to AAA. There are myriad reasons why — Putin’s war in Ukraine, an unexpected surge in demand following early pandemic shutdowns, an East Coast refinery that literally exploded a few years ago and so on. The recent surge shows the folly of tying the transportation sector — which accounts for 6% to 12% of GDP in developed countries — to highly volatile consumables that are broadly bought on a spot-price basis.","The price of fossil fuels are through the roof. Gas prices are up over 75% since last year, and diesel is up 55%, according to AAA. The recent surge shows the folly of tying the transportation sector to volatile, spot-price goods, writes Andrew Keen.",0.07142856694515334,"Want to bring inflation to heel? There’s no single, simple fix, of course, or we would have done it already.",0.301075264025899,"There are myriad reasons why — Putin’s war in Ukraine, an unexpected surge in demand following early pandemic shutdowns, an East Coast refinery that literally exploded a few years ago and so on. The recent surge shows the folly of tying the transportation sector — which accounts for 6% to 12% of GDP in developed countries — to highly volatile consumables that are broadly bought on a spot-price basis.",0.153846148942012,"There’s no single, simple fix, of course, or we would have done it already. But a good place to start would be weaning the economy off gasoline and diesel."
"TechCrunch+ roundup: Cannabis investor survey, product ops, recurring revenue financing",https://techcrunch.com/2022/05/27/techcrunch-roundup-cannabis-investor-survey-product-ops-recurring-revenue-financing/,"The cannabis industry is doing very well in the United States: More than 75% of the population lives in a state where access is permitted, and the legal market is expected to generate $33 billion this year. A black market still eats into the industry’s bottom line, however, and a patchwork of state regulations artificially constrain the TAM for public and private companies managing grow operations, distribution, transportation, inventory control, testing and point-of-sale software. In California, dispensaries advertise on freeway billboards and budtenders are a frequent sight at weddings, but Anna Heim found that the industry still has a long way to go before it reaches maturity nationwide, largely because federal laws continue to bar cannabis-related business from using traditional financial services.","Cannabis industry in U.S. expected to generate $33 billion this year, but black market still eats into the industry's bottom line. A patchwork of state regulations artificially constrain the TAM for public and private companies. In California, dispensaries advertise on freeway billboards and budtenders are a frequent sight at weddings.",0.5321100867940409,"The cannabis industry is doing very well in the United States: More than 75% of the population lives in a state where access is permitted, and the legal market is expected to generate $33 billion this year. A black market still eats into the industry’s bottom line, however, and a patchwork of state regulations artificially constrain the TAM for public and private companies managing grow operations, distribution, transportation, inventory control, testing and point-of-sale software.",0.5321100867940409,"The cannabis industry is doing very well in the United States: More than 75% of the population lives in a state where access is permitted, and the legal market is expected to generate $33 billion this year. A black market still eats into the industry’s bottom line, however, and a patchwork of state regulations artificially constrain the TAM for public and private companies managing grow operations, distribution, transportation, inventory control, testing and point-of-sale software.",0.57599999523328,"A black market still eats into the industry’s bottom line, however, and a patchwork of state regulations artificially constrain the TAM for public and private companies managing grow operations, distribution, transportation, inventory control, testing and point-of-sale software. In California, dispensaries advertise on freeway billboards and budtenders are a frequent sight at weddings, but Anna Heim found that the industry still has a long way to go before it reaches maturity nationwide, largely because federal laws continue to bar cannabis-related business from using traditional financial services."
Found celebrates one year by bringing on four founders in a roundtable episode,https://techcrunch.com/2022/05/27/found-celebrates-one-year-by-bringing-on-four-founders-in-a-roundtable-episode/," Found is officially one year old and we’ve got a brand new look! To celebrate we decided to have back four founders who made us think, laugh and have generally stuck with us since we talked with them. If we’ve learned anything from one year of talking with founders at all stages and in a multitude of industries, it’s that startups and the people who found them are always evolving. We get to talk to people at a fixed point in their journey, but in this episode, we get the opportunity to check back in and see how they’ve grown as founders and leaders.",Found is celebrating one year of talking with founders at all stages of their journey.,0.2553191447532821,"Found is officially one year old and we’ve got a brand new look! To celebrate we decided to have back four founders who made us think, laugh and have generally stuck with us since we talked with them.",0.13793103082045194,"To celebrate we decided to have back four founders who made us think, laugh and have generally stuck with us since we talked with them. We get to talk to people at a fixed point in their journey, but in this episode, we get the opportunity to check back in and see how they’ve grown as founders and leaders.",0.42307691914201184,"Found is officially one year old and we’ve got a brand new look! If we’ve learned anything from one year of talking with founders at all stages and in a multitude of industries, it’s that startups and the people who found them are always evolving."
